cz,cz_name,state,region,division,pop_2000,top_100,urban,abs_mobility,prob_q1q5,frac_black,frac_commute_under15,hhi_percap,top1inc_share,taxrate,inctax_progressive
1600,Wilson,NC,South,South Atlantic,"216,840",0,urban,35,0.031958379,0.4158873,0.36,31549,11.255,0.017,1
1701,Raleigh,NC,South,South Atlantic,"1,412,127",1,urban,37,0.049986634,0.2301592,0.25,40546,17.762,0.022,1
1702,Henderson,NC,South,South Atlantic,"62,926",0,rural,33,0.033608817,0.4993167,0.345,29492,12.68,0.016,1
1800,Goldsboro,NC,South,South Atlantic,"222,553",0,urban,38,0.045354951,0.3110135,0.348,28925,11.11,0.016,1
1900,Jacksonville,NC,South,South Atlantic,"536,909",0,urban,37,0.04700724,0.2561123,0.375,29500,11.594,0.017,1
2000,Virginia Beach,VA,South,South Atlantic,"1,119,468",1,urban,38,0.053550944,0.3082009,0.253,34929,10.785,0.028,0
2100,Washington,NC,South,South Atlantic,"124,216",0,rural,38,0.049788479,0.287636,0.387,32919,11.065,0.025,1
2200,South Boston,VA,South,South Atlantic,"158,234",0,rural,38,0.049048752,0.3982646,0.318,28198,8.048,0.015,0
2300,Lynchburg,VA,South,South Atlantic,"228,616",0,urban,39,0.067359142,0.1807004,0.309,34417,9.827,0.018,0
2400,Richmond,VA,South,South Atlantic,"1,040,192",1,urban,38,0.054764673,0.3025393,0.238,41886,11.543,0.025,0
2500,Newport News,VA,South,South Atlantic,"570,854",0,urban,38,0.051365763,0.315797,0.29,36027,9.192,0.025,0
2600,Roanoke Rapids,NC,South,South Atlantic,"139,055",0,rural,36,0.032752901,0.5668333,0.357,27335,8.827,0.019,1
2700,Gulfport,MS,South,East South Central,"458,674",0,urban,39,0.067107029,0.1821642,0.298,31028,12.053,0.022,0
2800,Laurel,MS,South,East South Central,"120,505",0,rural,40,0.069207057,0.3181445,0.32,26974,13.527,0.013,0
2900,Hattiesburg,MS,South,East South Central,"157,181",0,urban,39,0.060510889,0.2976568,0.358,28079,11.349,0.015,0
3001,Kosciusko,MS,South,East South Central,"41,270",0,rural,37,0.035489667,0.5979162,0.365,24121,18.373,0.016,0
3002,Yazoo City,MS,South,East South Central,"39,355",0,urban,35,0.024789523,0.5851607,0.417,22600,17.47,0.016,0
3003,Jackson,MS,South,East South Central,"546,560",0,urban,36,0.037534047,0.4445331,0.267,33322,17.981,0.016,0
3101,McComb,MS,South,East South Central,"103,602",0,rural,40,0.06252972,0.4430706,0.341,25123,11.866,0.012,0
3102,Brookhaven,MS,South,East South Central,"46,424",0,rural,40,0.064295486,0.3024298,0.321,27071,21.251,0.018,0
3201,Jena,LA,South,West South Central,"25,202",0,rural,49,0.04770477,0.1854615,0.369,24857,5.903,0.016,4
3202,Natchez,MS,South,East South Central,"69,653",0,rural,39,0.048746027,0.4635694,0.418,27488,12.508,0.014,0
3203,Vicksburg,MS,South,East South Central,"84,943",0,rural,35,0.031178208,0.5634955,0.379,27080,13.243,0.018,0
3300,New Orleans,LA,South,West South Central,"1,381,652",1,urban,38,0.051212866,0.3708242,0.247,34077,13.588,0.031,4
3400,Houma,LA,South,West South Central,"271,365",0,urban,44,0.113469154,0.1991856,0.414,28094,13.738,0.026,4
3500,Baton Rouge,LA,South,West South Central,"806,561",1,urban,39,0.060396895,0.3326568,0.258,31579,11.425,0.024,4
3600,Alexandria,LA,South,West South Central,"186,516",0,urban,40,0.067212842,0.2824583,0.343,28236,13.78,0.021,4
3700,Lake Charles,LA,South,West South Central,"335,960",0,urban,43,0.09711846,0.2051256,0.369,29462,10.245,0.026,4
3800,Lafayette,LA,South,West South Central,"548,154",0,urban,43,0.095053539,0.2701777,0.339,28712,14.406,0.02,4
3901,Monroe,LA,South,West South Central,"253,878",0,urban,38,0.055185098,0.3367011,0.341,29496,15.644,0.019,4
3902,Lake Providence,LA,South,West South Central,"21,735",0,rural,41,0.057306591,0.3962273,0.393,21037,8.917,0.027,4
4001,Magnolia,AR,South,West South Central,"34,162",0,rural,39,0.060388945,0.3603712,0.463,29001,7.52,0.011,1
4002,Shreveport,LA,South,West South Central,"499,101",0,urban,38,0.052718505,0.3812555,0.312,31565,12.701,0.023,4
4003,Ruston,LA,South,West South Central,"74,800",0,rural,40,0.068827927,0.3545989,0.464,24715,11.456,0.017,4
4004,Many,LA,South,West South Central,"23,459",0,rural,47,0.15160796,0.1676968,0.306,30067,9.71,0.019,4
4101,Crossett,AR,South,West South Central,"24,209",0,rural,39,0.041538462,0.268743,0.502,30093,7.41,0.015,1
4102,Pine Bluff,AR,South,West South Central,"168,122",0,urban,37,0.042829826,0.4208908,0.396,27099,8.256,0.015,1
4103,El Dorado,AR,South,West South Central,"89,373",0,rural,38,0.056633048,0.3436384,0.437,30514,9.389,0.013,1
4200,Little Rock,AR,South,West South Central,"630,854",1,urban,38,0.053561717,0.2067547,0.293,36101,11.732,0.017,1
4301,Stuttgart,AR,South,West South Central,"40,542",0,rural,40,0.053962901,0.2489024,0.529,30500,9.649,0.013,1
4302,Searcy,AR,South,West South Central,"94,324",0,rural,41,0.089104541,0.0876765,0.421,28365,8.856,0.012,1
4401,London,KY,South,East South Central,"144,931",0,rural,39,0.063895307,0.0128268,0.345,22044,13.431,0.009,0.2
4402,Richmond,KY,South,East South Central,"116,256",0,rural,39,0.059086841,0.0273964,0.35,25664,7.78,0.013,0.2
4501,West Liberty,KY,South,East South Central,"49,887",0,rural,38,0.068438537,0.0197847,0.295,20802,16.386,0.009,0.2
4502,Hazard,KY,South,East South Central,"117,919",0,rural,43,0.130659372,0.0136534,0.315,20987,9.422,0.011,0.2
4601,Campbellsville,KY,South,East South Central,"83,451",0,rural,42,0.071428575,0.0242777,0.404,26923,8.527,0.009,0.2
4602,Somerset,KY,South,East South Central,"123,981",0,rural,39,0.06271451,0.0082593,0.372,24892,11.635,0.012,0.2
4701,Greenwood,MS,South,East South Central,"84,168",0,rural,36,0.03311066,0.5271481,0.435,25756,13.772,0.016,0
4702,Clarksdale,MS,South,East South Central,"141,711",0,rural,34,0.027132504,0.479377,0.41,25222,12.888,0.016,0
4800,Greenville,MS,South,East South Central,"146,833",0,rural,34,0.02210159,0.6583261,0.498,23169,11.211,0.017,0
4901,Jackson,TN,South,East South Central,"198,166",0,urban,37,0.047488127,0.2735686,0.366,31754,12.857,0.02,0
